CO,JUR,CNTYNAME,DATE,PLACE,M/R,LTR,BALQUEST,TYPECODE,TYPENAME,TOPCODE,TOPNAME,YES,NO,TOTAL,PERCENT,REQ,PASSFAIL
41,3,SAN MATEO,1995-11-07,Brisbane School District,Measure,E,"TAX MEASURE.  Shall the Brisbane Elementary School District be authorized to levy a special tax of not more than ninety-six dollars ($96) per year per parcel of land as of July 1 of each year in order to (1) continue Brisbane's high academic standards; (2) provide local control; (3) maintain and lower class size, (4) support educational programs and services such as music, library, after-school, and computer; (5) provide long-term fiscal security for the District (with exemptions for parcels owned and occupied by a person 65 years of age or older, upon application, and for certain property exempted by law) and in connection therewith, shall the appropriations limit of the District be raised each year beginning July 1, 1996 and ending June 30, 2000, in an amount equal to the levy of said tax for said year?",3.0,Property Tax,10.0,Education,687,540,1227,0.5599022004889975,T,Fail
41,3,SAN MATEO,1995-11-07,Las Lomitas Elementary School District,Measure,F,"In order to maintain low class size and quality classroom programs, continue library and reading support services and increase the use of technology, shall the Las Lomitas Elementary School District levy a special tax assessment of ninety-eight dollars per year (forty-nine [$49] dollars per semi-annual payment), with exemptions for parcels owned and occupied by a person 65 years of age or older on or before July 1 of any applicable year, upon application, and certain other property exempted by law, for a limited period of six (6) years, beginning July 1, 1996 and ending June 30, 2002 and in connection therewith, raise the appropriations limit of the District each year in an amount equal to the levy of said tax for said year?",3.0,Property Tax,10.0,Education,2586,597,3183,0.8124410933081998,T,Pass
41,3,SAN MATEO,1995-11-07,Jefferson Union High School District,Measure,G,"BOND MEASURE.  Shall the Jefferson Union High School District incur bonded indebtedness in an amount not to exceed $30 million with an interest rate not to exceed the maximum rate allowed by law, so long as no bond monies are used for salaries, in order to repair and renovate older school facilities and classrooms, and to provide for modern science, technology and computer laboratories and facilities at its campuses in order to train its students for the technological world of the 21st century?",11.0,GO Bond,,Education: Bonds,8719,3468,12187,0.7154344793632559,T,Pass
42,3,SANTA BARBARA,1995-03-07,Carpinteria Unified School District,Measure,A95,"Shall the Carpinteria Unified School District incur bonded indebtedness in an amount not to exceed $17,500,000 with an interest rate not to exceed the maximum rate allowed by law for the purpose of upgrading classrooms for computer technology and science labs, rehabilitating existing classrooms, constructing new classrooms and funding safety improvements at all of its campuses?",11.0,GO Bond,,Education: Bonds,1930,728,2658,0.7261098570353649,T,Pass
42,3,SANTA BARBARA,1995-03-07,Goleta Union Elementary School District,Measure,B95,"Shall the Goleta Union School District incur bonded indebtedness in an amount not to exceed $28 million, with an interest rate not to exceed the maximum rate allowed by law, to construct needed classrooms and instructional facilities throughout the District, renovate and rehabilitate existing classrooms and schools, provide handicapped access and health and safety improvements, and prepare and wire schools for modern instructional technology?",11.0,GO Bond,,Education: Bonds,4794,2469,7263,0.6600578273440727,T,Fail
42,3,SANTA BARBARA,1995-03-07,Santa Maria-Bonita Union Elementary SD,Measure,B95,"Shall the Santa Maria-Bonita School District incur bonded indebtedness in an amount not to exceed $30.5 million with an interest rate not to exceed the maximum rate allowed by law to build and acquire new schools and classrooms, and to renovate and rehabilitate existing classrooms to provide for health, safety and instructional improvements.",11.0,GO Bond,,Education: Bonds,3077,3150,6227,0.4941384294202666,T,Fail
42,3,SANTA BARBARA,1995-11-07,Goleta Union School District,Measure,G,"Shall the Goleta Union School District incur bonded indebtedness in an amount not to exceed $28 million, with an interest rate not to exceed the maximum rate allowed by law, to construct needed classrooms and instructional facilities, including libraries, throughout the District, to reopen and renovate existing classrooms and schools, and to provide health and safety improvements, handicapped access, energy efficiency, and remodeling to accommodate instructional technology?",11.0,GO Bond,,Education: Bonds,8617,4366,12983,0.6637140876530848,T,Pass
43,3,SANTA CLARA,1995-06-06,Cupertino Union School District,Measure,A,"BOND MEASURE.  Shall the Cupertino Union School District, serving children in Cupertino and parts of Los Altos, San Jose, Santa Clara, Saratoga, and Sunnyvale, complete the renovation of neighborhood elementary schools (including removing asbestos, replacing aging heating and ventilation systems and outdated electrical wiring and lighting), and improve its junior high schools (including rehabilitating science labs and restrooms and adding needed classrooms) by issuing bonds in the amount of $71 million at interest rates not to exceed the maximum set by law?",11.0,GO Bond,,Education: Bonds,16350,3878,20228,0.8082855447894008,T,Pass
43,3,SANTA CLARA,1995-06-06,Palo Alto Unified School District,Measure,B,"BOND MEASURE.  Shall the Palo Alto Unified School District be authorized to finance the repairs, improvements and renovations of and additions to and of school buildings and grounds, including classrooms, science and other laboratories and libraries, safety and seismic upgrades, roofs, plumbing, sewer, lighting, electrical and mechanical systems, by issuing general obligation bonds in the maximum principal amount of $143,000,000 with interest rates not to exceed the maximum set by law?",11.0,GO Bond,,Education: Bonds,14686,3314,18000,0.8158888888888889,T,Pass
43,3,SANTA CLARA,1995-06-06,Moreland Elementary School District,Measure,C,"BOND MEASURE.  Shall the MORELAND School District be authorized to finance the repair, renovation and upgrading of existing neighborhood elementary and middle schools, including safety upgrades to reduce danger from earthquakes, repair of leaky roofs, upgrades to inadequate and unsafe electrical, heating, plumbing, and boiler systems, construction of additional facilities, and renovation of school libraries and classrooms by issuing bonds in the maximum principal amount of $44,100,000 with an interest rate not to exceed the limit set by law?",11.0,GO Bond,,Education: Bonds,5447,1089,6536,0.8333843329253366,T,Pass
43,3,SANTA CLARA,1995-06-06,Mountain View-Los Altos Union High School District,Measure,D,"BOND MEASURE.  To finance the repair and improvement of Mountain View and Los Altos High Schools (including safety, seismic, electrical and heating system upgrades, renovating and adding classrooms, replacing outdated science labs, and expanding libraries), as more completely described in the District Board's Resolution No. 13-95, shall the Mountain View-Los Altos Union High School District issue bonds in the amount of $58 million at interest rates not to exceed the limit set by law?",11.0,GO Bond,,Education: Bonds,12874,4330,17204,0.7483143455010463,T,Pass
43,3,SANTA CLARA,1995-11-07,Loma Prieta Joint Union School District,Measure,P,"Shall the voters of the Loma Prieta Joint Union Elementary School District continue for four years (July 1, 1995 to June 30, 1999) the Gann Appropriations Limit increase, approved by them in 1991, thus allowing the district to continue to use the revenue generated by the existing special tax of $150 per parcel?",60.0,Gann Limit,10.0,Education,129,41,170,0.7588235294117647,M,Pass
43,3,SANTA CLARA,1995-11-07,Oak Grove School District,Measure,Q,"To provide badly needed fire, health and safety improvements, and to provide classroom access to technology and computers, shall the Oak Grove School District be authorized to issue up to $75,000,000 in bonds to bear interest at rates not exceeding the statutory maximum to provide for making alterations, additions and improvements to school buildings and grounds; building or purchasing school buildings; acquiring school sites; and for related sewage and drainage projects or purposes as authorized by law?",11.0,GO Bond,,Education: Bonds,4260,1856,6116,0.696533682145193,T,Pass
44,3,SANTA CRUZ,1995-11-07,Loma Prieta Joint Union School District,Measure,P,"SPECIAL SCHOOL DISTRICT ELECTION.  Shall the voters of the Loma Prieta Joint Union Elementary School District continue for four years (July 1, 1995 to June 30, 1999) the Gann Appropriations Limit increase approved by them in 1991, thus allowing the district to continue to use the revenue generated by the existing special tax of $150 per parcel?",60.0,Gann Limit,10.0,Education,548,156,704,0.7784090909090909,T,Pass
45,3,SHASTA,1995-06-06,Columbia Elementary School District,Measure,E,"BOND MEASURE.  Shall the Columbia Elementary School District incur bonded indebtedness in the principal amount of $5,000,000 with an interest rate not to exceed the statutory maximum, for the purpose of the acquisition of school sites and facilities?  None of the bond money will be used for administrative salaries?",11.0,GO Bond,,Education: Bonds,857,405,1262,0.679080824088748,T,Pass
45,3,SHASTA,1995-06-06,Grant School District,Measure,F,"BOND MEASURE.  Shall Grant Elementary School District of Shasta County incur a bonded indebtedness of $2.1 million with an interest rate not to exceed the statutory limit to raise money for the following purposes: (a) the purchasing of school lots; (b) the building or purchasing of school buildings; (c) the making of alterations or additions to the school building or buildings other than as may be necessary for current maintenance, operation or repairs; and (d) the permanent improvement of school grounds?",11.0,GO Bond,,Education: Bonds,374,305,679,0.5508100147275405,T,Fail
48,3,SOLANO,1995-03-07,Vacaville Unified School District,Measure,A,"To renovate and rewire classrooms and schools to comply with current fire and safety codes, install air-conditioning, heating and ventilation systems, construct computer labs, and modernize facilities which will provide our students with a better education, shall the Vacaville Unified School District issue bonds in an amount not to exceed $14,100,000 with an interest rate within the legal limit, to repair, remodel and acquire classrooms and school facilities?",11.0,GO Bond,,Education: Bonds,3524,5291,8815,0.3997731140102099,T,Fail
48,3,SOLANO,1995-03-07,Vacaville Unified School District,Measure,B,"SPECIAL TAX TO PURCHASE AND INSTALL COMPUTERS AND RELATED TECHNOLOGY IN ALL DISTRICT SCHOOLS.  To better educate and enhance employment opportunities for all students by providing them with equal access to computer use, shall the Vacaville Unified School District be authorized to impose a special tax to purchase and install computers and related technology in all schools and facilities throughout the District, at the rate of $20 per year per parcel, excluding property exempted by law and parcels owned and occupied by persons 65 years or older and, in connection therewith, shall the appropriations limit of the District be raised each year in an amount equal to the levy of the tax for that year?",3.0,Property Tax,10.0,Education,3192,5601,8793,0.3630160354827704,T,Fail
49,3,SONOMA,1995-06-06,Old Adobe Union Elementary School District,Measure,A,"SPECIAL SCHOOL BOND ELECTION.  In order to raise money for earthquake safety improvements; for upgrading obsolete plumbing, heating and electrical systems, including providing classroom access to technology and computers; for the renovation, expansion, acquisition and construction of classroom buildings, including removing asbestos; for the acquisition and improvement of school sites; and for the provision of sewers and drainage projects for school property as authorized by law, shall the Old Adobe Union School District incur bonded indebtedness in the amount of $10,250,000 to bear interest at a rate not to exceed the statutory limit?",11.0,GO Bond,,Education: Bonds,2461,842,3303,0.745080230093854,T,Pass
49,3,SONOMA,1995-06-06,Piner-Olivet Union School District,Measure,B,"SPECIAL SCHOOL BOND ELECTION.  To enable the Piner-Olivet Union Elementary School District to acquire and construct classrooms (including land as needed) to reduce student overcrowding, to upgrade existing classrooms and sites at all schools, including to accommodate computer technology, and to provide for sewers and drainage projects as authorized by law, shall the District incur bonded indebtedness in the amount of $10 million to bear interest at a rate not to exceed the statutory maximum?",11.0,GO Bond,,Education: Bonds,1263,454,1717,0.7355853232382061,T,Pass
49,3,SONOMA,1995-11-07,Calistoga Joint Unified School District,Measure,A,"BOND MEASURE.  To provide Calistoga students with new classrooms to relieve overcrowding, comply with current safety standards, provide a science lab for junior high school students, and upgrade existing classrooms for computer use, shall the Calistoga Joint Unified School District issue $2.8 million of bonds, at an interest rate within the legal limit, to acquire, rehabilitate and construct classrooms for local use?",11.0,GO Bond,,Education: Bonds,201,45,246,0.8170731707317073,T,Pass
49,3,SONOMA,1995-11-07,Geyserville Unified School District,Measure,B,"BOND MEASURE.  In order to provide funding for acquisition, construction or renovation of school buildings, including a new library, a computer center and classrooms; additions or safety improvements to school facilities; and permanent improvement of school grounds; shall the Geyserville Unified School District incur bonded indebtedness in the amount of $1,400,000 at an interest rate not to exceed the statutory limit?",11.0,GO Bond,,Education: Bonds,359,106,465,0.7720430107526882,T,Pass
49,3,SONOMA,1995-11-07,Santa Rosa Elementary & High School District,Measure,C,"TAX MEASURE.  Shall the City of Santa Rosa High School District impose a qualified special tax of $29.00 per parcel to support middle and high schools by providing up-to-date technology, textbooks and library books; classroom computer/software; classroom supplies/equipment; expanding technology, the arts & vocational classes; and maintaining educational programs, said tax to remain effective for 5 years, and correspondingly increase its appropriations limit for the maximum time allowed by law, beginning 7-1-96, with certain senior citizen and other exemptions?",3.0,Property Tax,10.0,Education,14730,11800,26530,0.555220505088579,T,Fail
49,3,SONOMA,1995-11-07,Bennett Valley Union Elementary School District,Measure,D,"BOND MEASURE.  To construct a multipurpose room at Strawberry Elementary School, construct, improve or acquire facilities to expand Yulupa Elementary School library, install and upgrade wiring to provide computer technology to classrooms which will provide our students with a better education; for necessary sewage and drainage projects as authorized by law, and for permanent improvement of school grounds, shall the Bennett Valley Union School District be authorized to issue up to $1,500,000 of bonds bearing interest at rates within the statutory maximum?",11.0,GO Bond,,Education: Bonds,1944,914,2858,0.6801959412176347,T,Pass
49,3,SONOMA,1995-11-07,Santa Rosa Elementary & High School District,Measure,E,"TAX MEASURE.  Shall the City of Santa Rosa (Elementary) School District impose a qualified special tax of $39.00 per parcel to support elementary schools by providing up-to-date technology, textbooks and library books; classroom computers/software; classroom supplies/equipment; reading teachers; and maintaining educational programs, said tax to remain effective for 5 years, and correspondingly increase its appropriations limit for the maximum time allowed by law, beginning 7-1-96, with certain senior citizen and other exemptions?",3.0,Property Tax,10.0,Education,4332,3420,7752,0.5588235294117647,T,Fail
50,3,STANISLAUS,1995-03-07,Oakdale Jt. Union High School District,Measure,A,"To improve educational quality and reduce over-crowding, shall Oakdale Joint Union High School District incur bonded indebtedness in an amount not to exceed $36,400,000, with an interest rate not to exceed the legal limit, for the purpose of building needed new high schools in Oakdale and Waterford, upgrading and expanding Riverbank High School, adding and upgrading classrooms and other facilities for instructional technology and vocational education, building job skill training centers, and upgrading school libraries; with no bond funds to be used for school administration salaries?",11.0,GO Bond,,Education: Bonds,3407,2596,6003,0.5675495585540563,T,Fail
50,3,STANISLAUS,1995-03-07,Waterford Elementary School District,Measure,B,"Shall the Waterford Elementary School District incur bonded indebtedness in the principal amount of $31,000,000.00, with an interest rate not to exceed the statutory maximum, for the purpose of acquiring land and constructing school facilities?",11.0,GO Bond,,Education: Bonds,1051,328,1379,0.7621464829586657,T,Pass
50,3,STANISLAUS,1995-06-06,Hart-Ransom Union Elementary School District,Measure,D,"BOND MEASURE.  To improve Hart-Ransom School by (1) building a new parking lot to create a safe loading/unloading area for our children, (2) installing improved science and computer facilities, (3) building a multi-purpose room, (4) adding playground space, and (5) renovating and constructing restrooms and classrooms, shall the Hart-Ransom Union Elementary School District issue bonds in an amount not exceeding $2 million at an interest rate within the legal limit and improve real property?",11.0,GO Bond,,Education: Bonds,356,393,749,0.4753004005340454,T,Fail
50,3,STANISLAUS,1995-11-07,Stanislaus County Office of Education,Measure,E,"STANISLAUS COUNTY SCHOOLS DISTRICT REORGANIZATION.  Should that part of the territory of the Oakdale Joint Union High School District, which is a part of the Roberts Ferry Union School District, be transferred to the Hughson Union High School District?",70.0,Ordinance,12.0,Education: Districts,36,6,42,0.8571428571428571,M,Pass
50,3,STANISLAUS,1995-11-07,Turlock Joint Union High School District,Measure,F,"BOND MEASURE.  To accommodate increasing student enrollment and to relieve and prevent overcrowding at Turlock High School, shall the Turlock Joint Union High School District be authorized to incur bonded indebtedness in amounts not to exceed $65.5 million, at interest rates not to exceed the statutory limit, to acquire a new high school site and develop and construct the John H. Pitman High School?",11.0,GO Bond,,Education: Bonds,3247,5185,8432,0.3850806451612903,T,Fail
51,3,SUTTER,1995-03-07,Yuba City Unified School District,Measure,Z,"SPECIAL BOND.  Shall the Yuba City Unified School District issue and sell bonds in the amount of Forty-Two Million Dollars ($42,000,000), to bear interest at a rate not to exceed the statutory limit, in order to raise money for: (a) the purchasing of school lots; (b) the building or purchasing of school buildings; (c) the making of alterations or additions to school buildings other than as may be necessary for current maintenance, operation, or repairs; (d) the permanent improvement of school grounds; and (e) the providing of adequate sewers and drains?",11.0,GO Bond,,Education: Bonds,5270,3891,9161,0.5752647090928937,T,Fail
54,3,TULARE,1995-03-07,Porterville Union High School District,Measure,A,"To construct a third high school, to relieve classroom overcrowding, improve education and accommodate growing student enrollment, shall the Porterville Union High School District issue bonds in an amount not to exceed $24 million with an interest rate not to exceed the legal limit, to provide a new high school and school facilities?",11.0,GO Bond,,Education: Bonds,4268,3265,7533,0.5665737422009823,T,Fail
54,3,TULARE,1995-03-07,Burton Elementary School District,Measure,B,"Shall Burton Elementary School District acquire property for and construct thereon a new elementary school, including necessary on-and-off site improvements therefore, and the permanent improvement of school grounds (all as provided in Education Code section 15100) by incurring indebtedness of $2,000,000 at interest not to exceed 12%?",11.0,GO Bond,,Education: Bonds,749,657,1406,0.5327169274537695,T,Fail
54,3,TULARE,1995-03-07,Kings Canyon Jt Unified School District,Measure,E,"Shall the Kings Canyon Joint Unified School District renovate, repair, add to or improve school buildings and grounds; and build or purchase school buildings; which purposes comply with Education Code section 15100 and are further described in the Notice of Election by incurring indebtedness not to exceed $20,030,000.00 at interest not to exceed the maximum rate allowed by Government Code section 53531? ",11.0,GO Bond,,Education: Bonds,112,93,205,0.5463414634146342,T,Fail
54,3,TULARE,1995-11-07,Kings Canyon Unified School District,Measure,A,"BOND MEASURE.  Shall the Kings Canyon Unified School District renovate, repair, add to or improve school buildings and grounds; and build or purchase school buildings; which purposes comply with Education Code section 15100 and are further described in the Notice of Election by incurring indebtedness not to exceed $20,030,000.00 at interest not to exceed the maximum rate allowed by law?",11.0,GO Bond,,Education: Bonds,115,117,232,0.4956896551724138,T,Fail
54,3,TULARE,1995-11-07,Hanford Joint Union High School District,Measure,H,"BOND MEASURE.  To construct permanent classrooms, science and computer labs, a library to the west campus; to acquire school sites, construct, modernize and rehabilitate classrooms and school facilities for student and local community use, shall the Hanford Joint Union High School District issue $20 million of general obligation bonds at an interest rate within the legal limit?",11.0,GO Bond,,Education: Bonds,14,17,31,0.45161290322580644,T,Fail
54,3,TULARE,1995-11-07,Porterville Union High School District,Measure,L,"BOND MEASURE.  To construct a third high school, to relieve classroom overcrowding, improve education and accommodate growing student enrollment, shall the Porterville Union High School District issue bonds in an amount not to exceed $24 million with an interest rate not to exceed the legal limit, to provide a new high school and school facilities?",11.0,GO Bond,,Education: Bonds,3872,3565,7437,0.5206400430281027,T,Fail
54,3,TULARE,1995-11-07,Burton Elementary School District,Measure,M,"BOND MEASURE.  Shall the Burton Elementary School District acquire property for and construct thereon a new elementary school, including necessary on- and off-site improvements therefor, and the permanent improvement of school grounds (all as provided in Education Code section 15100) by incurring indebtedness of $2,000,000 at an interest rate not to exceed the maximum allowed by law?",11.0,GO Bond,,Education: Bonds,623,667,1290,0.48294573643410854,T,Fail
56,3,VENTURA,1995-11-07,Pleasant Valley Elementary School District,Measure,M,"Shall the Pleasant Valley School District incur bonded indebtedness in an amount not to exceed $55 million with an interest rate not to exceed the maximum rate allowed by law for the purpose of upgrading classrooms for instructional technology, building and acquiring classrooms and new schools throughout the District, renovating and rehabilitating existing classrooms and educational facilities, and funding safety improvements at all of its campuses?",11.0,GO Bond,,Education: Bonds,8795,4794,13589,0.6472146589152992,T,Fail
57,3,YOLO,1995-06-06,Woodland Joint Unified School District,Measure,S,"BOND MEASURE.  To enable the Woodland Joint Unified School District to replace leaking roofs; to renovate facilities and classrooms to accommodate modern technologies; to rehabilitate existing school facilities; to acquire land and relocatable classrooms and facilities to relieve current and projected student overcrowding; and to upgrade science labs; shall the District incur bonded indebtedness not to exceed $16.9 million, at interest rates not to exceed the statutory maximum?",11.0,GO Bond,,Education: Bonds,3943,2032,5975,0.6599163179916318,T,Fail
57,3,YOLO,1995-06-06,Winters Joint Unified School District,Measure,T,"BOND MEASURE.  To benefit students by upgrading classrooms to accommodate modern technology, renovating schools other than as may be necessary for current maintenance operation or repairs, and acquiring classrooms, shall the Winters Joint Unified School District incur a bonded indebtedness of $2,830,000 with an interest rate not to exceed the statutory limit?",11.0,GO Bond,,Education: Bonds,616,328,944,0.652542372881356,T,Fail
57,3,YOLO,1995-11-07,Davis Unified School District,Measure,U,"SPECIAL TAX INITIATIVE.  Shall the Davis Joint Unified School District renew a special tax for an additional four years at the annual rate of $120.00 per parcel, and shall the appropriations limit be increased by the amount of the special tax revenue, solely to provide:  enhanced reading and science programs; increased instructional program offerings; reduced class size at selected grade levels; additional nursing, counseling and support services for students; supplemental staff training; and technological and instructional materials for the schools?",3.0,Property Tax,10.0,Education,7254,2492,9746,0.744305356043505,T,Pass
57,3,YOLO,1995-11-07,Woodland Joint Unified School District,Measure,V,"BOND MEASURE.  To enable the Woodland Joint Unified School District to replace leaking roofs, to renovate facilities and classrooms to accommodate modern technologies; to rehabilitate existing school facilities; to acquire land and relocatable classrooms and to build permanent classrooms and facilities to relieve current and projected student overcrowding; and to upgrade science labs; shall the District incur bonded indebtedness not to exceed $16.9 million, at interest rates not to exceed the statutory maximum?",11.0,GO Bond,,Education: Bonds,5190,2794,7984,0.6500501002004008,T,Fail
